type,experiment_number,VM_ID,VM_exTime,VM_costPerStorage,VM_powerCompsuption
FUZZY,11,33,2.000,0.300,1.900
FUZZY,11,34,3.556,1.200,12.650
FUZZY,11,35,3.000,1.800,30.300
FUZZY,11,36,8.000,0.300,0.950
FUZZY,11,37,2.000,0.300,1.900
FUZZY,11,38,0.000,0.000,0.000
FUZZY,11,40,0.000,0.000,0.000
FUZZY,11,44,8.000,0.300,0.950
FUZZY,11,39,5.500,3.300,55.550
FUZZY,11,41,8.000,1.200,7.600
FUZZY,11,42,2.667,0.900,9.488
FUZZY,11,43,5.000,3.000,50.500
FUZZY,11,45,4.000,0.600,3.800
FUZZY,11,46,3.556,1.200,12.650
FUZZY,11,48,8.000,0.300,0.950
FUZZY,11,49,2.000,0.300,1.900
FUZZY,11,47,5.000,3.000,50.500
FUZZY,12,0,8.000,0.300,0.950
FUZZY,12,1,6.000,0.900,5.700
FUZZY,12,2,2.667,0.900,9.488
FUZZY,12,3,8.000,4.800,80.800
FUZZY,12,4,8.000,0.300,0.950
FUZZY,12,5,6.000,0.900,5.700
FUZZY,12,6,1.778,0.600,6.325
FUZZY,12,7,6.500,3.900,65.650
FUZZY,12,8,8.000,0.300,0.950
FUZZY,12,9,8.000,1.200,7.600
FUZZY,12,10,4.444,1.500,15.813
FUZZY,12,11,7.500,4.500,75.750
FUZZY,12,12,8.000,0.300,0.950
FUZZY,12,13,8.000,1.200,7.600
FUZZY,12,14,3.556,1.200,12.650
FUZZY,12,15,6.500,3.900,65.650
FUZZY,12,16,8.000,0.300,0.950
FUZZY,12,17,6.000,0.900,5.700
FUZZY,12,20,16.000,0.600,1.900
FUZZY,12,18,5.333,1.800,18.975
FUZZY,12,19,7.000,4.200,70.700
FUZZY,12,21,8.000,1.200,7.600
FUZZY,12,22,5.333,1.800,18.975
FUZZY,12,23,6.500,3.900,65.650
FUZZY,12,24,8.000,0.300,0.950
FUZZY,12,25,10.000,1.500,9.500
